business_name,category,subcategory,address,city,phone,website,rating,num_reviews,description,source_url
18 Feet,Restaurants & Food,Fast Food,1967 YONGE ST,Toronto,,,,,,https://www.gtasearch.com/biz/18-feet-toronto-2
18 Feet,Restaurants & Food,Fast Food,144 COLLEGE ST,Toronto,,,,,,https://www.gtasearch.com/biz/18-feet-toronto-3
18 Smoke Shop & Variety,Restaurants & Food,Fast Food,"222 SPADINA AVE, #123",Toronto,(416) 979-1717,,,,,https://www.gtasearch.com/biz/18-smoke-shop-variety-toronto
1910 La Mexicana,Restaurants & Food,,993 1/2 BLOOR ST W,Toronto,,,,,,https://www.gtasearch.com/biz/1910-la-mexicana-toronto
19th Hole Sports Bar & Grill,Restaurants & Food,,434 ROGERS RD,Toronto,(647) 350-2309,,,,,https://www.gtasearch.com/biz/19th-hole-sports-bar-grill-toronto
2 4 1 Pizza,Restaurants & Food,Pizza,"759 JANE ST, #3",Toronto,(416) 604-8994,,,,,https://www.gtasearch.com/biz/2-4-1-pizza-toronto
21 Seven Market,Restaurants & Food,Fast Food,1000 BLOOR ST W,Toronto,,,,,,https://www.gtasearch.com/biz/21-seven-market-toronto
2296198 Ontario,Restaurants & Food,,"444 YONGE ST, F3",Toronto,(647) 927-3533,,,,,https://www.gtasearch.com/biz/2296198-ontario-toronto
24 7even,Restaurants & Food,Fast Food,385 QUEEN ST W,Toronto,,,,,,https://www.gtasearch.com/biz/24-7even-toronto
241 Pizza,Restaurants & Food,Fast Food,451 PARLIAMENT ST,Toronto,(416) 816-9537,,,,,https://www.gtasearch.com/biz/241-pizza-toronto-7
241 Pizza,Restaurants & Food,Fast Food,1383 DAVENPORT RD,Toronto,(416) 534-6563,,,,,https://www.gtasearch.com/biz/241-pizza-toronto-8
241 Pizza,Restaurants & Food,Pizza,1029 PAPE AVE,Toronto,,,,,,https://www.gtasearch.com/biz/241-pizza-toronto-9
241 Pizza,Restaurants & Food,Fast Food,1349 ST CLAIR AVE W,Toronto,(416) 658-4241,,,,,https://www.gtasearch.com/biz/241-pizza-toronto-11
241 Pizza,Restaurants & Food,Fast Food,142 PARLIAMENT ST,Toronto,(416) 816-9537,,,,,https://www.gtasearch.com/biz/241-pizza-toronto-12
241 Pizza,Restaurants & Food,Pizza,1016 GERRARD ST E,Toronto,(416) 399-9374,,,,,https://www.gtasearch.com/biz/241-pizza-toronto-13
241 Pizza #37,Restaurants & Food,Pizza,1055 BLOOR ST W,Toronto,(416) 532-1525,,,,,https://www.gtasearch.com/biz/241-pizza-37-toronto
241 Pizza Store #7,Restaurants & Food,Pizza,"1468 QUEEN ST W, REAR",Toronto,,,,,,https://www.gtasearch.com/biz/241-pizza-store-7-toronto
244 Pizza & Wings,Restaurants & Food,Pizza,1166 WESTON RD,Toronto,(416) 244-7777,,,,,https://www.gtasearch.com/biz/244-pizza-wings-toronto
3 Brasseurs,Restaurants & Food,,275 YONGE ST,Toronto,,,,,,https://www.gtasearch.com/biz/3-brasseurs-toronto
3 Eggs All Day Pub & Grill,Restaurants & Food,,936 EGLINTON AVE W,Toronto,(416) 519-5955,,,,,https://www.gtasearch.com/biz/3-eggs-all-day-pub-grill-toronto
3 Jit Variety,Restaurants & Food,Fast Food,1452 BLOOR ST W,Toronto,(416) 531-1694,,,,,https://www.gtasearch.com/biz/3-jit-variety-toronto
3 Mariachis (Esplanade),Restaurants & Food,,"140 THE ESPLANADE, A",Toronto,,,,,,https://www.gtasearch.com/biz/3-mariachis-esplanade-toronto
360 Restaurant,Restaurants & Food,,"301 FRONT ST W, CN TOWER",Toronto,(416) 601-3798,,,,,https://www.gtasearch.com/biz/360-restaurant-toronto
367 Cafe,Restaurants & Food,Coffee & Tea,367 DONLANDS AVE,Toronto,,,,,,https://www.gtasearch.com/biz/367-cafe-toronto
3rd Mom Hot Pot,Restaurants & Food,Chinese,261 SPADINA AVE,Toronto,,,,,,https://www.gtasearch.com/biz/3rd-mom-hot-pot-toronto
"401 Games, Toys, Sportscards",Restaurants & Food,Fast Food,431 YONGE ST,Toronto,(416) 599-6446,,,,,https://www.gtasearch.com/biz/401-games-toys-sportscards-toronto
416 Snack Bar,Restaurants & Food,,181 BATHURST ST,Toronto,(416) 451-3241,,,,,https://www.gtasearch.com/biz/416-snack-bar-toronto
416 Snack Bar Short Turn,Restaurants & Food,,576 QUEEN ST W,Toronto,,,,,,https://www.gtasearch.com/biz/416-snack-bar-short-turn-toronto
44 Toronto,Restaurants & Food,,"627 KING ST W, P1-P2",Toronto,,,,,,https://www.gtasearch.com/biz/44-toronto-toronto
4c Broast,Restaurants & Food,,1093 O'CONNOR DR,Toronto,(416) 755-4488,,,,,https://www.gtasearch.com/biz/4c-broast-toronto
4ever Sushi,Restaurants & Food,Japanese,225 QUEEN ST W,Toronto,,,,,,https://www.gtasearch.com/biz/4ever-sushi-toronto
5 Elements,Restaurants & Food,,131 AVENUE RD,Toronto,(416) 567-1190,,,,,https://www.gtasearch.com/biz/5-elements-toronto
501 Catering,Restaurants & Food,,501 ALLIANCE AVE,Toronto,,,,,,https://www.gtasearch.com/biz/501-catering-toronto
512 Bar & Lounge,Restaurants & Food,,1376 ST CLAIR AVE W,Toronto,,,,,,https://www.gtasearch.com/biz/512-bar-lounge-toronto
520 Richmond Resto Bar,Restaurants & Food,,"520 RICHMOND ST W, #1-2",Toronto,,,,,,https://www.gtasearch.com/biz/520-richmond-resto-bar-toronto
521 Cafe & Bar,Restaurants & Food,Coffee & Tea,521 DANFORTH AVE,Toronto,(416) 463-3968,,,,,https://www.gtasearch.com/biz/521-cafe-bar-toronto
555 Boat Noodles,Restaurants & Food,Fast Food,"252 QUEEN ST W, #4",Toronto,,,,,,https://www.gtasearch.com/biz/555-boat-noodles-toronto
555 Boat Noodles,Restaurants & Food,,"496 YONGE ST, B",Toronto,,,,,,https://www.gtasearch.com/biz/555-boat-noodles-toronto-3
6 Cloud,Restaurants & Food,,3236 YONGE ST,Toronto,,,,,,https://www.gtasearch.com/biz/6-cloud-toronto-2
670 Ktv Bar,Restaurants & Food,,"670 BLOOR ST W, #301",Toronto,(647) 219-2219,,,,,https://www.gtasearch.com/biz/670-ktv-bar-toronto
6ix Donutz,Restaurants & Food,Fast Food,83 PORTLAND ST,Toronto,,,,,,https://www.gtasearch.com/biz/6ix-donutz-toronto
6ix Pickle,Restaurants & Food,,102 BERKELEY ST,Toronto,,,,,,https://www.gtasearch.com/biz/6ix-pickle-toronto
6ix Pizzas,Restaurants & Food,Fast Food,2070 QUEEN ST E,Toronto,,,,,,https://www.gtasearch.com/biz/6ix-pizzas-toronto
7 Day Convenience,Restaurants & Food,Fast Food,669 BLOOR ST W,Toronto,,,,,,https://www.gtasearch.com/biz/7-day-convenience-toronto-2
7 West Cafe,Restaurants & Food,Coffee & Tea,"7 CHARLES ST W, FL2",Toronto,(416) 928-9041,,,,,https://www.gtasearch.com/biz/7-west-cafe-toronto
7-Eleven,Restaurants & Food,Fast Food,"1033 BAY ST, #7",Toronto,(972) 828-6888,,,,,https://www.gtasearch.com/biz/7-eleven-toronto-5
7-Eleven,Restaurants & Food,Fast Food,1169 ST CLAIR AVE W,Toronto,(972) 828-6888,,,,,https://www.gtasearch.com/biz/7-eleven-toronto-8
7-Eleven,Restaurants & Food,Fast Food,372 BAY ST,Toronto,(972) 828-6888,,,,,https://www.gtasearch.com/biz/7-eleven-toronto-9
7-Eleven,Restaurants & Food,Fast Food,1730 BLOOR ST W,Toronto,(972) 828-6888,,,,,https://www.gtasearch.com/biz/7-eleven-toronto-10
7-Eleven,Restaurants & Food,Fast Food,260 COLLEGE ST,Toronto,(972) 828-6888,,,,,https://www.gtasearch.com/biz/7-eleven-toronto-11
7-Eleven,Restaurants & Food,Fast Food,1260 DUNDAS ST W,Toronto,(972) 828-6888,,,,,https://www.gtasearch.com/biz/7-eleven-toronto-12
7-Eleven,Restaurants & Food,Fast Food,3355 DUNDAS ST W,Toronto,(972) 828-6888,,,,,https://www.gtasearch.com/biz/7-eleven-toronto-13
7-Eleven,Restaurants & Food,Fast Food,1 EGLINTON AVE E,Toronto,(972) 828-6888,,,,,https://www.gtasearch.com/biz/7-eleven-toronto-14
168 Sushi Japan Buffet,Restaurants & Food,Japanese,2366 DUNDAS ST W,Mississauga,(905) 823-8818,,,,,https://www.gtasearch.com/biz/168-sushi-japan-buffet-mississauga
2 4 1 Pizza,Restaurants & Food,Fast Food,1201 HURONTARIO ST,Mississauga,(905) 278-8188,,,,,https://www.gtasearch.com/biz/2-4-1-pizza-mississauga
2-4-1 Pizza,Restaurants & Food,Fast Food,"1125 BLOOR ST, Unit 17",Mississauga,(905) 897-2320,,,,,https://www.gtasearch.com/biz/2-4-1-pizza-mississauga-2
2-4-1 Pizza,Restaurants & Food,Fast Food,"2980 CROSSCURRENT DR, Unit 9",Mississauga,(905) 824-6205,,,,,https://www.gtasearch.com/biz/2-4-1-pizza-mississauga-3
2-4-1 Pizza,Restaurants & Food,Fast Food,"2155 LEANNE BLVD, Unit 102",Mississauga,(905) 822-3368,,,,,https://www.gtasearch.com/biz/2-4-1-pizza-mississauga-4
24 Hour Convenience,Restaurants & Food,Grocery,3154 HURONTARIO ST,Mississauga,(647) 571-6065,,,,,https://www.gtasearch.com/biz/24-hour-convenience-mississauga
3 Castelos Grill House/Vilamor Café,Restaurants & Food,Fast Food,1030 DUNDAS ST E,Mississauga,(905) 277-1200,,,,,https://www.gtasearch.com/biz/3-castelos-grill-house-vilamor-cafe-mississauga
3 For 1 Pizza Wings,Restaurants & Food,Fast Food,"3353 THE CREDIT WOODLANDS, Unit 4",Mississauga,(905) 275-7536,,,,,https://www.gtasearch.com/biz/3-for-1-pizza-wings-mississauga
3 For 1 Pizza Wings,Restaurants & Food,Fast Food,"2325 HURONTARIO ST, Unit 6",Mississauga,(416) 341-0888,,,,,https://www.gtasearch.com/biz/3-for-1-pizza-wings-mississauga-2
3 For 2 Pizza Wings,Restaurants & Food,Fast Food,"4646 HERITAGE HILLS BLVD, Unit 13",Mississauga,(905) 712-4447,,,,,https://www.gtasearch.com/biz/3-for-2-pizza-wings-mississauga
6ixty Wings,Restaurants & Food,Fast Food,"1650 DUNDAS ST E, Unit 1",Mississauga,(905) 949-9996,,,,,https://www.gtasearch.com/biz/6ixty-wings-mississauga
7 Eleven Canada,Restaurants & Food,Grocery,6905 DIXIE RD,Mississauga,(905) 671-2875,,,,,https://www.gtasearch.com/biz/7-eleven-canada-mississauga
77 Convenience,Restaurants & Food,Grocery,"5925 GROSSBEAK DR, Unit 5",Mississauga,(905) 824-5122,,,,,https://www.gtasearch.com/biz/77-convenience-mississauga
A & D Mart,Restaurants & Food,Grocery,2899 DERRY RD E,Mississauga,(905) 672-2899,,,,,https://www.gtasearch.com/biz/a-d-mart-mississauga
A & W,Restaurants & Food,Fast Food,5880 MAVIS RD,Mississauga,(647) 479-4020,,,,,https://www.gtasearch.com/biz/a-w-mississauga
A & W,Restaurants & Food,Fast Food,"5100 ERIN MILLS PKY, Unit FC6",Mississauga,(647) 479-4537,,,,,https://www.gtasearch.com/biz/a-w-mississauga-2
A & W,Restaurants & Food,Fast Food,1465 AEROWOOD DR,Mississauga,(647) 479-7881,,,,,https://www.gtasearch.com/biz/a-w-mississauga-3
A & W,Restaurants & Food,Fast Food,1130 DUNDAS ST E,Mississauga,(905) 272-3447,,,,,https://www.gtasearch.com/biz/a-w-mississauga-4
A & W,Restaurants & Food,Fast Food,6775 AIRPORT RD,Mississauga,(647) 483-2392,,,,,https://www.gtasearch.com/biz/a-w-mississauga-5
A & W,Restaurants & Food,Fast Food,"100 CITY CENTRE DR, Unit Q9",Mississauga,(647) 479-8058,,,,,https://www.gtasearch.com/biz/a-w-mississauga-6
A & W,Restaurants & Food,Fast Food,2930 ARGENTIA RD,Mississauga,(647) 479-8212,,,,,https://www.gtasearch.com/biz/a-w-mississauga-7
A & W,Restaurants & Food,Fast Food,6905 DIXIE RD,Mississauga,(905) 694-9549,,,,,https://www.gtasearch.com/biz/a-w-mississauga-8
A A A Convenience Plus,Restaurants & Food,Grocery,"1100 BURNHAMTHORPE RD W, Unit 20",Mississauga,(905) 272-9779,,,,,https://www.gtasearch.com/biz/a-a-a-convenience-plus-mississauga
A Bit Of Home,Restaurants & Food,Grocery,"1248 DUNDAS ST E, Unit 2",Mississauga,(905) 804-1731,,,,,https://www.gtasearch.com/biz/a-bit-of-home-mississauga
A Convenience Store,Restaurants & Food,Grocery,"1077 NORTH SERVICE RD, Unit 5",Mississauga,(905) 277-1820,,,,,https://www.gtasearch.com/biz/a-convenience-store-mississauga
A One Cakes And Pastries,Restaurants & Food,Bakeries,"1075 LORIMAR DR, Unit 1 to 6",Mississauga,(905) 564-2663,,,,,https://www.gtasearch.com/biz/a-one-cakes-and-pastries-mississauga
A+ Smoodees,Restaurants & Food,Fast Food,"1065 CANADIAN PL, Unit 124",Mississauga,(647) 999-3884,,,,,https://www.gtasearch.com/biz/a-smoodees-mississauga
A1 Donuts,Restaurants & Food,Fast Food,"2150 BURNHAMTHORPE RD W, Unit H13",Mississauga,(905) 820-3483,,,,,https://www.gtasearch.com/biz/a1-donuts-mississauga
A1 Hakka House,Restaurants & Food,Fast Food,"660 EGLINTON AVE W, Unit 5B",Mississauga,(905) 755-9900,,,,,https://www.gtasearch.com/biz/a1-hakka-house-mississauga
Abbey Road Pub & Patio,Restaurants & Food,,"3200 ERIN MILLS PKY, Unit 9",Mississauga,(905) 608-9603,,,,,https://www.gtasearch.com/biz/abbey-road-pub-patio-mississauga
Adobo Fresh Burrito,Restaurants & Food,Mexican,2425 TRUSCOTT DR,Mississauga,(905) 823-5343,,,,,https://www.gtasearch.com/biz/adobo-fresh-burrito-mississauga
Adobo Grill,Restaurants & Food,Fast Food,"1550 SOUTH GATEWAY RD, Unit 1B",Mississauga,(289) 261-3460,,,,,https://www.gtasearch.com/biz/adobo-grill-mississauga
Adonis Group,Restaurants & Food,Grocery,1240 EGLINTON AVE W,Mississauga,(905) 363-0707,,,,,https://www.gtasearch.com/biz/adonis-group-mississauga
Adonis Mediterranean Market,Restaurants & Food,Grocery,2561 STANFIELD RD,Mississauga,(365) 207-0200,,,,,https://www.gtasearch.com/biz/adonis-mediterranean-market-mississauga
Afghan Flame,Restaurants & Food,,4926 TOMKEN RD,Mississauga,(289) 868-8555,,,,,https://www.gtasearch.com/biz/afghan-flame-mississauga
Afghan Grill House,Restaurants & Food,,"120 TRADERS BLVD E, Unit 110",Mississauga,(905) 842-8844,,,,,https://www.gtasearch.com/biz/afghan-grill-house-mississauga
Afghan Kabob Cuisine,Restaurants & Food,Middle Eastern,"780 BURNHAMTHORPE RD W, Unit 1",Mississauga,(905) 273-3334,,,,,https://www.gtasearch.com/biz/afghan-kabob-cuisine-mississauga
Afghan Palace,Restaurants & Food,,"3505 ODYSSEY DR, Unit 65",Mississauga,(905) 569-3006,,,,,https://www.gtasearch.com/biz/afghan-palace-mississauga
African Caribbean Groceries,Restaurants & Food,Grocery,63 DUNDAS ST W,Mississauga,(905) 281-9515,,,,,https://www.gtasearch.com/biz/african-caribbean-groceries-mississauga
Air Riderz,Restaurants & Food,Fast Food,"3600 RIDGEWAY DR, Unit 4 & 5",Mississauga,(905) 820-7500,,,,,https://www.gtasearch.com/biz/air-riderz-mississauga
Airport Bukhara,Restaurants & Food,,7168 AIRPORT RD,Mississauga,(905) 678-7889,,,,,https://www.gtasearch.com/biz/airport-bukhara-mississauga
Akko Cake House,Restaurants & Food,Bakeries,"4040 CREDITVIEW RD, Unit 1",Mississauga,(905) 279-9281,,,,,https://www.gtasearch.com/biz/akko-cake-house-mississauga
Ako Greek,Restaurants & Food,Greek,"2225 ERIN MILLS PKY, Unit 100B",Mississauga,(905) 855-1237,,,,,https://www.gtasearch.com/biz/ako-greek-mississauga
Al Aqsa Wa Rafidain Supermarket & Halal Meat,Restaurants & Food,Grocery,"257 DUNDAS ST E, Unit 5",Mississauga,(905) 896-3698,,,,,https://www.gtasearch.com/biz/al-aqsa-wa-rafidain-supermarket-halal-meat-mississauga
Al Emaan Halal Meat & Groceries,Restaurants & Food,Grocery,"1370 DUNDAS ST E, Unit 2",Mississauga,(905) 276-9191,,,,,https://www.gtasearch.com/biz/al-emaan-halal-meat-groceries-mississauga
Al Marwa Super Market,Restaurants & Food,Grocery,"40 DUNDAS ST W, Unit 9 & 10",Mississauga,(905) 272-3636,,,,,https://www.gtasearch.com/biz/al-marwa-super-market-mississauga
Al Mustafa Catering And Takeout,Restaurants & Food,Fast Food,558 LAKESHORE RD E,Mississauga,(647) 710-8799,,,,,https://www.gtasearch.com/biz/al-mustafa-catering-and-takeout-mississauga
Al Premium Food Mart,Restaurants & Food,Grocery,"888 DUNDAS ST E, Unit E5-7,K13",Mississauga,(905) 803-9088,,,,,https://www.gtasearch.com/biz/al-premium-food-mart-mississauga
Al Quds Market Deli,Restaurants & Food,Grocery,"3355 HURONTARIO ST, Unit 8 & 9",Mississauga,(905) 275-2781,,,,,https://www.gtasearch.com/biz/al-quds-market-deli-mississauga
Al-Khair Halal Meat & Grocery,Restaurants & Food,Grocery,"7125 GOREWAY DR, Unit 103",Mississauga,(905) 672-7141,,,,,https://www.gtasearch.com/biz/al-khair-halal-meat-grocery-mississauga
Al-Marwa Halal Meat & Grocery,Restaurants & Food,Grocery,"5980 CHURCHILL MEADOWS BLVD, Unit 5 to 7",Mississauga,(905) 812-2782,,,,,https://www.gtasearch.com/biz/al-marwa-halal-meat-grocery-mississauga
Al-Omda Restaurant And Lounge,Restaurants & Food,Fast Food,"255 DUNDAS ST W, Unit 8",Mississauga,(905) 232-0112,,,,,https://www.gtasearch.com/biz/al-omda-restaurant-and-lounge-mississauga
Alf Hana Shawarma Hut,Restaurants & Food,Middle Eastern,"6550 MEADOWVALE TOWN CENTRE CIR, Unit 5",Mississauga,(289) 997-7665,,,,,https://www.gtasearch.com/biz/alf-hana-shawarma-hut-mississauga
Alioli Ristorante,Restaurants & Food,Italian,"350 BURNHAMTHORPE RD W, Unit 123",Mississauga,(905) 281-1122,,,,,https://www.gtasearch.com/biz/alioli-ristorante-mississauga
All Star Wings & Ribs,Restaurants & Food,Fast Food,2905 EGLINTON AVE W,Mississauga,(905) 607-0967,,,,,https://www.gtasearch.com/biz/all-star-wings-ribs-mississauga
Alliston Meats & Delicatessen,Restaurants & Food,Grocery,660 BLOOR ST,Mississauga,(905) 275-9331,,,,,https://www.gtasearch.com/biz/alliston-meats-delicatessen-mississauga
Almast Turkish Baklava,Restaurants & Food,Bakeries,"1370 DUNDAS ST E, Unit 5A",Mississauga,(647) 293-8978,,,,,https://www.gtasearch.com/biz/almast-turkish-baklava-mississauga
Alyousef Food Distribution,Restaurants & Food,Grocery,1880 BONHILL RD,Mississauga,,,,,,https://www.gtasearch.com/biz/alyousef-food-distribution-mississauga
Amadio's Pizza,Restaurants & Food,Fast Food,"360 REVUS AVE, Unit 6",Mississauga,(905) 891-5500,,,,,https://www.gtasearch.com/biz/amadios-pizza-mississauga
Amg Convenience,Restaurants & Food,Grocery,466 SOUTH SERVICE RD,Mississauga,(289) 805-2544,,,,,https://www.gtasearch.com/biz/amg-convenience-mississauga
Amici Sports Cafe,Restaurants & Food,Fast Food,496 SOUTH SERVICE RD,Mississauga,(905) 299-5915,,,,,https://www.gtasearch.com/biz/amici-sports-cafe-mississauga
Amritsar To Delhi Restaurant,Restaurants & Food,,2883 DERRY RD E,Mississauga,(905) 500-1661,,,,,https://www.gtasearch.com/biz/amritsar-to-delhi-restaurant-mississauga
An Ngon,Restaurants & Food,,"720 BURNHAMTHORPE RD W, Unit 1",Mississauga,(905) 949-2525,,,,,https://www.gtasearch.com/biz/an-ngon-mississauga
Ancila's Indian Cuisine,Restaurants & Food,Indian,"6905 MILLCREEK DR, Unit 10 & 11",Mississauga,(905) 593-9982,,,,,https://www.gtasearch.com/biz/ancilas-indian-cuisine-mississauga
Andhra Mess,Restaurants & Food,,"35 KING ST E, Unit 8",Mississauga,(437) 880-8273,,,,,https://www.gtasearch.com/biz/andhra-mess-mississauga
Andiamo Pasta Plus,Restaurants & Food,Italian,135 QUEEN ST S,Mississauga,(905) 826-4904,,,,,https://www.gtasearch.com/biz/andiamo-pasta-plus-mississauga
Anjappar Chettinad South Indian Cuisine,Restaurants & Food,Indian,"4310 SHERWOODTOWNE BLVD, Unit 1",Mississauga,(416) 722-5539,,,,,https://www.gtasearch.com/biz/anjappar-chettinad-south-indian-cuisine-mississauga
Apna Farm,Restaurants & Food,Fast Food,"3525 PLATINUM DR, Unit 114",Mississauga,(905) 608-1919,,,,,https://www.gtasearch.com/biz/apna-farm-mississauga
Apna Pind,Restaurants & Food,Fast Food,1636 DERRY RD E,Mississauga,(905) 678-2100,,,,,https://www.gtasearch.com/biz/apna-pind-mississauga
"Apple Market, The",Restaurants & Food,Grocery,2281 CAMILLA RD,Mississauga,(905) 848-4840,,,,,https://www.gtasearch.com/biz/apple-market-the-mississauga
Applewood Bistro,Restaurants & Food,Fast Food,3000 WOODCHESTER DR,Mississauga,(905) 828-2221,,,,,https://www.gtasearch.com/biz/applewood-bistro-mississauga
Applewood Fish & Chips,Restaurants & Food,Fast Food,1020 BURNHAMTHORPE RD E,Mississauga,(905) 277-4045,,,,,https://www.gtasearch.com/biz/applewood-fish-chips-mississauga
1stop African Caribbean Market,Restaurants & Food,Grocery,7-279 QUEEN ST E,Brampton,(905) 450-1212,,,,,https://www.gtasearch.com/biz/1stop-african-caribbean-market-brampton
241 Pizza,Restaurants & Food,Fast Food,700 BALMORAL DR,Brampton,(416) 241-0241,,,,,https://www.gtasearch.com/biz/241-pizza-brampton
241 Pizza,Restaurants & Food,Fast Food,49 KENNEDY RD N,Brampton,(416) 241-0241,,,,,https://www.gtasearch.com/biz/241-pizza-brampton-2
7 Eleven,Restaurants & Food,Grocery,150 MAIN ST N,Brampton,(905) 453-1282,,,,,https://www.gtasearch.com/biz/7-eleven-brampton
7 Eleven,Restaurants & Food,Grocery,140 FATHER TOBIN RD,Brampton,(905) 458-7199,,,,,https://www.gtasearch.com/biz/7-eleven-brampton-2
7 Star Convenience,Restaurants & Food,Grocery,2-23 CONSERVATION DR,Brampton,(905) 840-0211,,,,,https://www.gtasearch.com/biz/7-star-convenience-brampton
786 Pizza And Wings,Restaurants & Food,Fast Food,400 QUEEN ST W,Brampton,(905) 453-0786,,,,,https://www.gtasearch.com/biz/786-pizza-and-wings-brampton
A And W Restaurant,Restaurants & Food,Fast Food,8980 GOREWAY DR,Brampton,(905) 799-9767,,,,,https://www.gtasearch.com/biz/a-and-w-restaurant-brampton
A And W Restaurant,Restaurants & Food,Fast Food,5 ACE DR,Brampton,(905) 799-1871,,,,,https://www.gtasearch.com/biz/a-and-w-restaurant-brampton-2
A And W Restaurant,Restaurants & Food,Fast Food,2464 QUEEN ST E,Brampton,(289) 298-3095,,,,,https://www.gtasearch.com/biz/a-and-w-restaurant-brampton-3
A And W Restaurant,Restaurants & Food,Fast Food,75 RESOLUTION DR,Brampton,(289) 298-0277,,,,,https://www.gtasearch.com/biz/a-and-w-restaurant-brampton-4
A And W Restaurant,Restaurants & Food,Fast Food,5 SANDALWOOD PKY W,Brampton,(905) 846-7880,,,,,https://www.gtasearch.com/biz/a-and-w-restaurant-brampton-5
A And W Restaurant,Restaurants & Food,Fast Food,136-499 MAIN ST S,Brampton,(905) 450-8877,,,,,https://www.gtasearch.com/biz/a-and-w-restaurant-brampton-6
A And W Restaurant,Restaurants & Food,Fast Food,25 PEEL CENTRE DR,Brampton,(905) 791-2879,,,,,https://www.gtasearch.com/biz/a-and-w-restaurant-brampton-7
A And W Restaurant,Restaurants & Food,Fast Food,1990 HALLSTONE RD,Brampton,(905) 457-7681,,,,,https://www.gtasearch.com/biz/a-and-w-restaurant-brampton-8
A And W Restaurant,Restaurants & Food,Fast Food,120 BRICKYARD WAY,Brampton,(289) 298-3375,,,,,https://www.gtasearch.com/biz/a-and-w-restaurant-brampton-9
Abc Convenience,Restaurants & Food,Grocery,5 MCMURCHY AVE N,Brampton,(905) 456-1146,,,,,https://www.gtasearch.com/biz/abc-convenience-brampton
Ace Convenience,Restaurants & Food,Grocery,231 QUEEN ST E,Brampton,(905) 452-0489,,,,,https://www.gtasearch.com/biz/ace-convenience-brampton
African Market,Restaurants & Food,Grocery,19 QUEEN ST W,Brampton,(905) 451-3006,,,,,https://www.gtasearch.com/biz/african-market-brampton
African Royal Foods,Restaurants & Food,Grocery,332 MAIN ST N,Brampton,(905) 454-0304,,,,,https://www.gtasearch.com/biz/african-royal-foods-brampton
African Safari Tropical Market,Restaurants & Food,Grocery,1 STEELES AVE E,Brampton,(905) 874-8053,,,,,https://www.gtasearch.com/biz/african-safari-tropical-market-brampton
